episode,reward,dist,pose,fuel_bonus,landing_bonus,crash_penalty,fuel_left,step,landed,crashed
0,0.0,0.0005016197117668282,-0.9195629772057426,0.0010597010130540313,0.0,0.0,1.0597010130540312,577,False,True
1,0.0,0.0006910657840699639,-0.946390477076956,0.0010565063889727,0.0,0.0,1.0565063889727,552,False,True
2,0.0,0.0014429892623946633,-0.9751114700938625,0.0010159689126787396,0.0,0.0,1.0159689126787395,587,False,True
3,0.0,0.0004824127924885788,-0.8298170158515434,0.0011454493168546291,0.0,0.0,1.1454493168546291,492,False,True
4,0.0,0.00034681575861569873,-0.7816989322929264,0.0011619525595958449,0.0,0.0,1.161952559595845,508,False,True
5,0.0,0.0005047628598323631,-0.7599795296777929,0.0011450835401935536,0.0,0.0,1.1450835401935537,528,False,True
6,0.0,0.0008596780898021839,-0.772725265582579,0.0011445036610823202,0.0,0.0,1.1445036610823203,532,False,True
7,0.0,0.0011688290770278992,-0.8068837822162745,0.001102967562495908,0.0,0.0,1.1029675624959079,570,False,True
8,0.0,0.00047710487242370544,-0.6856726349267627,0.0011266741633944226,0.0,0.0,1.1266741633944226,573,False,True
9,0.0,0.0006027237988283679,-0.6505826563908556,0.001194272320607439,0.0,0.0,1.194272320607439,504,False,True
10,0.0,0.0011797936411936192,-0.7645125664418315,0.0011199671908749805,0.0,0.0,1.1199671908749806,568,False,True
11,0.0,0.0007221274927157413,-0.80464648406647,0.0011535393493595561,0.0,0.0,1.153539349359556,540,False,True
12,0.0,0.0005347982848731774,-0.8098619054599105,0.0011440934778560018,0.0,0.0,1.144093477856002,549,False,True
13,0.0,0.0012861232820096879,-0.880164615179491,0.001129713627646023,0.0,0.0,1.1297136276460231,564,False,True
14,0.0,0.00030807377413806156,-0.6330883235327437,0.00120677207336815,0.0,0.0,1.20677207336815,502,False,True
15,0.0,0.0012415013974467007,-0.7838521345634608,0.0011435487308917851,0.0,0.0,1.143548730891785,537,False,True
