episode,reward,dist,pose,fuel_bonus,landing_bonus,crash_penalty,fuel_left,step,landed,crashed
0,0.0,0.05886055890261086,-0.34361749942319214,0.0,0.0,0.0,84.457033119975,689,False,True
1,0.0,0.06183405845384254,-0.34108855414748374,0.0,0.0,0.0,82.67282822833137,746,False,True
2,0.0,0.0542431575513805,-0.2987567673075288,0.0,0.0,0.0,85.37598555794187,639,False,True
3,0.0,0.06780047815180053,-0.42138702126345673,0.0,0.0,0.0,82.33219806298032,739,False,True
4,0.0,0.050594259997702944,-0.28501229102444775,0.0,0.0,0.0,84.45716486802242,631,False,True
5,0.0,0.06091644950941125,-0.39407846913713807,0.0,0.0,0.0,84.02602343724638,680,False,True
6,0.0,0.06531650458690881,-0.4150033736443008,0.0,0.0,0.0,82.30677493676885,753,False,True
7,0.0,0.057625140454333826,-0.39131058870329527,0.0,0.0,0.0,83.16377840732315,671,False,True
8,0.0,0.06917608140485698,-0.45256311681019934,0.0,0.0,0.0,83.74235012566356,702,False,True
9,0.0,0.0526471045811126,-0.30109199258360314,0.0,0.0,0.0,84.96465176364198,666,False,True
10,0.0,0.06604775761716551,-0.39946490905803683,0.0,0.0,0.0,83.7755259177215,698,False,True
11,0.0,0.06719727608325152,-0.38084761184160537,0.0,0.0,0.0,85.31686446760126,669,False,True
12,0.0,0.054434773716228346,-0.2844738557656152,0.0,0.0,0.0,84.52883255581465,706,False,True
13,0.0,0.05575356600078005,-0.4236882400797981,0.0,0.0,0.0,85.6050641060057,636,False,True
14,0.0,0.05338654611886199,-0.35249852687653926,0.0,0.0,0.0,86.15082346070388,621,False,True
15,0.0,0.06348796044451778,-0.3717437175319492,0.0,0.0,0.0,86.17905843636228,663,False,True
16,0.0,0.0597677311015435,-0.35384635450269375,0.0,0.0,0.0,86.2380587472668,652,False,True
17,0.0,0.05313682019686086,-0.34527686619836023,0.0,0.0,0.0,86.33536788219796,600,False,True
18,0.0,0.06584250933968087,-0.3724740436158005,0.0,0.0,0.0,84.38081571187166,704,False,True
19,0.0,0.06546181127736171,-0.3297250416327218,0.0,0.0,0.0,84.83320233960383,705,False,True
20,0.0,0.06597285705583122,-0.43950888861057086,0.0,0.0,0.0,84.92471369996834,674,False,True
21,0.0,0.0648001343709083,-0.40852096354161216,0.0,0.0,0.0,85.85419501280671,673,False,True
22,0.0,0.055149535029493116,-0.3547675505484884,0.0,0.0,0.0,86.79211187109304,608,False,True
23,0.0,0.06137570128913156,-0.4115661630261867,0.0,0.0,0.0,85.0154329974347,667,False,True
24,0.0,0.05590499666731522,-0.37921344614518615,0.0,0.0,0.0,87.33988921461024,583,False,True
25,0.0,0.060193044383555466,-0.40114936379079175,0.0,0.0,0.0,84.78758165988508,667,False,True
26,0.0,0.06499421019860835,-0.3561859570094182,0.0,0.0,0.0,84.83491467888294,672,False,True
27,0.0,0.061203815887804915,-0.3380029515129424,0.0,0.0,0.0,85.41667888364059,647,False,True
28,0.0,0.06593931216715747,-0.3363816239834386,0.0,0.0,0.0,85.11117135635412,696,False,True
29,0.0,0.06761469553234607,-0.4341588208517216,0.0,0.0,0.0,84.32814440028223,684,False,True
30,0.0,0.05411419327327893,-0.23863041013021366,0.0,0.0,0.0,84.91766953909024,690,False,True
